Temperature,Preheat,Heating,Cooling,Reached,
,46,No,No,No,No
,46,No,No,No,No
,46,No,No,No,No
,46,No,No,No,No
,45,No,No,No,No
,45,No,No,No,No
,46,No,No,No,No
,45,No,No,No,No
,45,No,No,No,No
,45,No,No,No,No
,45,No,No,No,No
,45,No,No,No,No
,45,No,No,No,No
,45,No,No,No,No
,45,No,No,No,No
,45,No,No,No,No
,45,No,No,No,No
,45,No,No,No,No
,45,No,No,No,No
,45,No,No,No,No
,45,No,No,No,No
,45,No,No,No,No
,44,No,No,No,No
,44,No,No,No,No
,44,No,No,No,No
,44,No,No,No,No
,44,No,No,No,No
,44,No,No,No,No
,44,No,No,No,No
,44,No,No,No,No
,44,No,No,No,No
,44,No,No,No,No
,44,No,No,No,No
,44,No,No,No,No
,44,No,No,No,No
,43,No,No,No,No
,43,No,No,No,No
,44,No,No,No,No
,44,No,No,No,No
,44,No,No,No,No
,44,No,No,No,No
,44,No,No,No,No
,43,No,No,No,No
,43,No,No,No,No
,43,No,No,No,No
,43,No,No,No,No
,43,No,No,No,No
,43,No,No,No,No
,43,No,No,No,No
,43,No,No,No,No
,43,No,No,No,No
,43,No,No,No,No
,43,No,No,No,No
,43,No,No,No,No
,43,No,No,No,No
,43,No,No,No,No
,43,No,No,No,No
,43,No,No,No,No
,43,No,No,No,No
,43,No,No,No,No
,43,No,No,No,No
,43,No,No,No,No
,43,No,No,No,No
,43,No,No,No,No
,43,No,No,No,No
,43,No,No,No,No
,43,No,No,No,No
,43,No,No,No,No
,43,No,No,No,No
,43,No,No,No,No
,43,No,No,No,No
,42,No,No,No,No
,42,No,No,No,No
,42,No,No,No,No
,42,No,No,No,No
,42,No,No,No,No
,42,No,No,No,No
,42,No,No,No,No
,42,No,No,No,No
,42,No,No,No,No
,42,No,No,No,No
,42,No,No,No,No
,42,No,No,No,No
,42,No,No,No,No
,42,No,No,No,No
,42,No,No,No,No
,41,No,No,No,No
,41,No,No,No,No
,41,No,No,No,No
,41,No,No,No,No
,41,No,No,No,No
,41,No,No,No,No
,41,No,No,No,No
,41,No,No,No,No
,41,No,No,No,No
,41,No,No,No,No
,41,No,No,No,No
,41,No,No,No,No
,41,No,No,No,No
,40,No,No,No,No
,41,No,No,No,No
,41,No,No,No,No
,40,No,No,No,No
,40,No,No,No,No
,40,No,No,No,No
,40,No,No,No,No
,40,No,No,No,No
,40,No,No,No,No
,40,No,No,No,No
,40,No,No,No,No
,40,No,No,No,No
,40,No,No,No,No
,40,No,No,No,No
,40,No,No,No,No
,40,No,No,No,No
,40,No,No,No,No
,40,No,No,No,No
,40,No,No,No,No
,40,No,No,No,No
,40,No,No,No,No
,40,No,No,No,No
,40,No,No,No,No
,40,No,No,No,No
,40,No,No,No,No
,40,No,No,No,No
,40,No,No,No,No
,40,No,No,No,No
,39,No,No,No,No
,39,No,No,No,No
,39,No,No,No,No
,39,No,No,No,No
,39,No,No,No,No
,39,No,No,No,No
,39,No,No,No,No
,39,No,No,No,No
,39,No,No,No,No
,39,No,No,No,No
,39,No,No,No,No
,38,No,No,No,No
,38,No,No,No,No
,38,No,No,No,No
,38,No,No,No,No
,38,No,No,No,No
,38,No,No,No,No
,38,No,No,No,No
,38,No,No,No,No
,38,No,No,No,No
,38,No,No,No,No
,39,No,No,No,No
,39,No,No,No,No
,39,No,No,No,No
,39,No,No,No,No
,39,No,No,No,No
,39,No,No,No,No
,39,No,No,No,No
,39,No,No,No,No
,39,No,No,No,No
,39,No,No,No,No
,39,No,No,No,No
,39,No,No,No,No
,39,No,No,No,No
,38,No,No,No,No
,38,No,No,No,No
,38,No,No,No,No
,38,No,No,No,No
,38,No,No,No,No
,38,No,No,No,No
,37,No,No,No,No
,37,No,No,No,No
,37,No,No,No,No
,37,No,No,No,No
,37,No,No,No,No
,38,No,No,No,No
,38,No,No,No,No
,38,No,No,No,No
,38,No,No,No,No
,38,No,No,No,No
,38,No,No,No,No
,38,No,No,No,No
,37,No,No,No,No
,37,No,No,No,No
,37,No,No,No,No
,37,No,No,No,No
,37,No,No,No,No
,37,No,No,No,No
,37,No,No,No,No
,37,No,No,No,No
,37,No,No,No,No
,37,No,No,No,No
,37,No,No,No,No
,37,No,No,No,No
,37,No,No,No,No
,37,No,No,No,No
,37,No,No,No,No
,37,No,No,No,No
,37,No,No,No,No
,37,No,No,No,No
,37,No,No,No,No
,37,No,No,No,No
,37,No,No,No,No
,37,No,No,No,No
,37,No,No,No,No
,37,No,No,No,No
,36,No,No,No,No
,36,No,No,No,No
,36,No,No,No,No
,36,No,No,No,No
,36,No,No,No,No
,36,No,No,No,No
,36,No,No,No,No
,36,No,No,No,No
,36,No,No,No,No
,36,No,No,No,No
,36,No,No,No,No
,36,No,No,No,No
,36,No,No,No,No
,36,No,No,No,No
,36,No,No,No,No
,36,No,No,No,No
,36,No,No,No,No
,36,No,No,No,No
,36,No,No,No,No
,36,No,No,No,No
,36,No,No,No,No
,36,No,No,No,No
,36,No,No,No,No
,36,No,No,No,No
,36,No,No,No,No
,36,No,No,No,No
,36,No,No,No,No
,36,No,No,No,No
,36,No,No,No,No
,36,No,No,No,No
,35,No,No,No,No
,35,No,No,No,No
,35,No,No,No,No
,36,No,No,No,No
,35,No,No,No,No
,35,No,No,No,No
,35,No,No,No,No
,35,No,No,No,No
,35,No,No,No,No
